ID,Drug Name,Targets,Z Score,Count
"1629","ML323","USP1, UAF1","-.73167592270938675","281"
"1586","BDILV000379a","BAZ2A, BAZ2B","-.73071158453621521","281"
"1630","Entospletinib","SYK","-.72639461534902849","281"
"1624","I-BET-762","BRD2, BRD3, BRD4","-.71812145595463417","281"
"1843","LMP744","TOP1","-.6963900927914255","281"
"1093","GSK1904529A","IGF1R, IR","-.68916832164821473","281"
"1622","Wnt-C59","PORCN","-.6678293603330141","281"
"1811","Dactinomycin","RNA polymerase","-.66383019667549159","281"
"2438","ascorbate (vitamin C)","anti-oxidant proteins","-.66284457220383741","281"
"1004","Vinblastine","Microtubule destabiliser","-.63833351021989915","281"
"1086","BI-2536","PLK1, PLK2, PLK3","-.62362681924856023","281"
"1582","SGC-CBP30","EP300, CBP","-.59678830314073628","281"
"2149","CT7033-2","KDM4A, KDM4C, KDM4E, KDM3A, KDM6B","-.58282085268507844","281"
"1563","EPZ5676","DOT1L","-.57326268153586335","281"
"1777","GSK2276186C","JAK1, JAK2, JAK3","-.57074521202891937","281"
"1062","Selumetinib","MEK1, MEK2","-.55006625552976018","281"
"1626","OTX015","BRD2, BRD3, BRD4","-.54684706270644112","281"
"2044","Pyridostatin","G-quadruplex stabiliser","-.54614561915133431","281"
"1177","Niraparib","PARP1, PARP2","-.54258405161954715","281"
"1817","Romidepsin","HDAC1, HDAC2, HDAC3, HDAC8","-.54093038976893992","281"
"1046","Wee1 Inhibitor","WEE1, CHEK1","-.52638098877812589","281"
"1511","Epirubicin","Anthracycline","-.52285066876261233","281"
"2172","JQ1","BRD2, BRD3, BRD4, BRDT","-.52251008947847932","281"
"1583","GSK-LSD1","KDM1","-.50693470813160857","281"
"1802","Zoledronate"," ","-.493610008498921","281"
"1718","JAK1_8709","JAK1","-.48978166886081609","281"
"2159","UNC0379","SETD8","-.48330831513857375","281"
"1561","Taselisib","PI3K (beta sparing)","-.457001875707369","281"
"2173","PFI-1","BRD4","-.45256648582405645","281"
"1913","AGI-5198","IDH1 (R132H)","-.45027801226510439","281"
"1259","Talazoparib","PARP1, PARP2","-.43192948814082338","281"
"1014","Refametinib","MEK1, MEK2","-.42525540598881145","281"
"2145","PBD-288","","-.41205629561474555","281"
"1089","Oxaliplatin","DNA alkylating agent","-.40968279158977833","281"
"1939","UMI-77","MCL1","-.40450193171764637","281"
"1614","WZ4003","NUAK1, NUAK2","-.40351672625519419","281"
"1844","776928","","-.3977464192593953","281"
"2498","alpha-lipoic acid","Metabolism","-.39669377010726603","281"
"1598","LGK974","PORCN","-.38435664926161844","281"
"1911","Dactinomycin","RNA polymerase","-.38391239444270214","281"
"1999","N25720-51-A1","","-.36725847592695043","281"
"1068","Obatoclax Mesylate","BCL2, BCL-XL, BCL-W, MCL1","-.35954826428064779","281"
"1018","Veliparib","PARP1, PARP2","-.35912178724995386","281"
"1816","Fulvestrant","ESR","-.35884020121158616","281"
"1806","Oxaliplatin","DNA alkylating agent","-.35751509931972275","281"
"2003","N29087-69-1","","-.35018994938946796","281"
"1733","ULK1_4989","ULK1","-.34887533775249785","281"
"1054","Palbociclib","CDK4, CDK6","-.34853974467469351","281"
"1713","ERK_2440","ERK1,ERK2","-.33919013705241174","281"
"1708","CDK9_5576","CDK9","-.33537002664173005","281"
"1617","AZD5582","XIAP, cIAP","-.33206223720886019","281"
"1091","BMS-536924","IGF1R, IR","-.32331861113717386","281"
"1249","BMS-345541","IKK-1, IKK-2","-.32100986075181398","281"
"1557","LCL161","XIAP, IAP1, IAP2","-.31743457999320795","281"
"1005","Cisplatin","DNA crosslinker","-.31159089905775278","281"
"1239","YK-4-279","RNA helicase A","-.30260769737769289","281"
"1930","Telomerase Inhibitor IX","Telomerase","-.2745619988367955","281"
"1940","WIKI4","TNKS1, TNKS2","-.27005475673484741","281"
"2158","CPI-637","EP300","-.26532296490589929","281"
"1709","CDK9_5038","CDK9","-.26383975833095757","281"
"1714","ERK_6604","ERK1,ERK2","-.2379294627158948","281"
"1825","Podophyllotoxin bromide","","-.23633630127350352","281"
"1529","Pevonedistat","NAE","-.23425025281515285","281"
"2157","A-366","EHMT1, EHMT2","-.23005137585683583","281"
"1620","PFI3","Polybromo 1, SMARCA4, SMARCA2","-.22748259665722412","281"
"1635","Picolinici-acid","Inflammatory related","-.22637365769995293","281"
"1060","PD0325901","MEK1, MEK2","-.21982245091621375","281"
"1043","JNK Inhibitor VIII","JNK","-.21939126121800009","281"
"1085","Sorafenib","PDGFR, KIT, VEGFR, RAF","-.21591216610615616","281"
"1581","Bromosporine","CECR2, BRD2, BRD4, BRD9","-.20567099875311179","281"
"1736","Selumetinib","MEK1, MEK2","-.20114676744579069","281"
"2048","Vinorelbine","Microtubule destabiliser","-.19896038484041351","281"
"1067","CCT007093","PPM1D","-.18917146600385468","281"
"1560","Alpelisib","PI3Kalpha","-.18824886801186488","281"
"1200","Fulvestrant","ESR","-.18392656907107571","281"
"1580","GSK2801","","-.17081249236161025","281"
"2011","ICL-SIRT078","SIR2","-.16378091738986167","281"
"1006","Cytarabine","Antimetabolite","-.16015142806141575","281"
"1080","Paclitaxel","Microtubule stabiliser","-.1593872907022873","281"
"1928","I-BRD9","BRD9","-.15628241604845702","281"
"2177","SGC0946","DOT1L","-.14959069023117647","281"
"1734","VSP34_8731","VSP34","-.14822076104206486","281"
"2359","GSK2830371","WIP1","-.14457227967205571","281"
"1830","Gallibiscoquinazole","","-.13858491476758153","281"
"1779","GSK626616AC","DYRK1A","-.13821478387187691","281"
"2037","GSK343","EZH2","-.13039554021705399","281"
"1564","SCH772984","ERK1, ERK2","-.12686119877369834","281"
"1932","NVP-ADW742","IGF1R","-.11860410456856522","281"
"1131","PRIMA-1MET","TP53 activation","-.11471448571359123","281"
"1634","AGI-6780","IDH2 R140Q mutant","-.1007724512998","281"
"1807","Carmustine","","-.098894274840703053","281"
"1052","RO-3306","CDK1","-.094206439913464057","281"
"1818","Vincristine","","-.089626019374331983","281"
"1020","Lenalidomide","CRBN","-.081592998150563978","281"
"1179","MK-1775","WEE1, PLK1","-.066053351463903967","281"
"1908","Ulixertinib","ERK1, ERK2","-.064901295715110011","281"
"1036","PLX-4720","BRAF","-.059523192985447754","281"
"2038","UNC0638","G9A, GLP","-.056167037195539712","281"
"1931","MIRA-1","TP53","-.048623366520133118","281"
"1378","Bleomycin (50 uM)","dsDNA break induction","-.04130345256497344","281"
"1058","Pictilisib","PI3K (class 1)","-.038006867530283789","281"
"1812","Bleomycin","dsDNA break induction","-.037838009673377589","281"
"1835","Elephantin","","-.032080165229657662","281"
"1827","Dihydrorotenone","","-.031023724459454689","281"
"2055","Mycophenolic acid","","-.030794228478746844","281"
"1627","GSK343","EZH2","-.028668648934530895","281"
"1815","Dacarbazine","CP11A","-.025425245803641812","281"
"1873","Buparlisib","PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma","-.021694881803039065","281"
"1776","GSK2256098C","FAK1","-.018294709890785205","281"
"1584","BDOCA000347a","BRPF1, BRPF2, BRPF3","-.016146009413562","281"
"2047","Ulixertinib","ERK1, ERK2","-.013703339187285625","281"
"1784","LMB_AB2","GADD34","-.012882843636560034","281"
"1250","AZ960","JAK2, JAK3","-.010812283814065952","281"
"1401","AZD5438","CDK2","-.0053264888534252479","281"
"1821","765771","","-.0036571152826457491","281"
"2154","GSK-LSD1-2HCl ","LSD1","-.00037302916629943368","281"
"1029","Motesanib","VEGFR, RET, KIT, PDGFR",".0046254736942402805","281"
"1512","Cyclophosphamide","Alkylating agent",".0076491702945949008","281"
"1008","Methotrexate","Antimetabolite",".010205094966270215","281"
"1829","667880","",".010237066930973334","281"
"1813","Fludarabine","Antimetabolite",".022845646871234918","281"
"1073","5-Fluorouracil","Antimetabolite (DNA & RNA)",".023721518673408489","281"
"1810","Mitoxantrone","TOP2",".025228663275146113","281"
"1783","LMB_AB1","ADRA1A, ADRB1",".02911180847745581","281"
"1833","741909","",".030824446906990724","281"
"2360","THR-101","Mutant RAS",".045357777609755422","281"
"1372","Trametinib","MEK1, MEK2",".051499027972744145","281"
"1621","PCI-34051","HDAC8, HDAC6, HDAC1",".059736010350645956","281"
"1022","AZD7762","CHEK1, CHEK2",".064796438682751811","281"
"1025","SB216763","GSK3A, GSK3B",".065275199398789951","281"
"1927","GSK2578215A","LRRK2",".072142331622503275","281"
"1824","123138","",".077970031162390055","281"
"1706","AZD5153","BRD4",".09085645836577623","281"
"2361","THR-102","Mutant RAS",".092647874436352168","281"
"2362","THR-103","Mutant RAS",".10323096702579575","281"
"1814","Nelarabine","",".10562268242977962","281"
"1998","BPD-00008900","",".10664134371780445","281"
"1631","PRT062607","SYK",".11239209599217199","281"
"2000","N27922-53-1","",".12073149978387618","281"
"1191","Bortezomib","Proteasome",".14001499443053644","281"
"1007","Docetaxel","Microtubule stabiliser",".14248457572633524","281"
"1079","Dasatinib","ABL, SRC, Ephrins, PDGFR, KIT",".14908782608782542","281"
"2439","glutathione","anti-oxidant proteins",".17116444920910207","281"
"2113","VTP-B","",".17726000849048656","281"
"1033","Vismodegib","SMO",".19641228181412879","281"
"1780","GSK3337463A","NIK",".19778180429985723","281"
"1463","AZD1332","NTRK1, NTRK2, NTRK3",".21168370981004817","281"
"2111","VE821","ATR",".2124646799497702","281"
"2171","BMS-754807","IGF1R, IR",".22105638302452707","281"
"1909","Venetoclax","BCL2",".22417715561317114","281"
"1449","AZD1208","PIM1, PIM2, PIM3",".23284164109492836","281"
"1047","Nutlin-3a (-)","MDM2",".23342012599579046","281"
"1180","Dinaciclib","CDK1, CDK2, CDK5, CDK9",".23558804211358123","281"
"1034","Staurosporine","Broad spectrum kinase inhibitor",".24378075712761033","281"
"2002","N30652-18-1","",".24428418645696137","281"
"1083","Crizotinib","MET, ALK, ROS1",".25111757487585401","281"
"1917","AZD6738","ATR",".25614014806951024","281"
"1049","PD173074","FGFR1, FGFR2, FGFR3",".25820206906490595","281"
"1057","Dactolisib","PI3K (class 1), MTORC1, MTORC2",".26157735714814923","281"
"1936","Savolitinib","MET",".26212484639796496","281"
"1507","Ruxolitinib","JAK1, JAK2",".26934074378062106","281"
"1926","GNE-317","PI3Kalpha",".27970739142902845","281"
"1576","IWP-2","PORCN",".28285684714458176","281"
"2043","BIBR-1532","TERT",".29307141110981455","281"
"1237","EPZ004777","DOT1L",".30172877888157879","281"
"1632","Ribociclib","CDK4, CDK6",".3312277153607659","281"
"1051","Alisertib","AURKA",".33136042688111961","281"
"1061","SB590885","BRAF",".33281477262949216","281"
"1782","GSK2830371A","PPM1D",".33711576705188767","281"
"1578","Leflunomide","Pyrimidine synthesis inhibitor",".34243529021155938","281"
"1021","Axitinib","PDGFR, KIT, VEGFR",".35040965425831833","281"
"1042","Doramapimod","p38, JNK2",".35249093805746323","281"
"1941","Sepantronium bromide","BIRC5",".3560116309732046","281"
"1510","Linsitinib","IGF1R",".36108456187076671","281"
"1428","IAP_5620","IAP",".36363443632625253","281"
"1023","GW441756","NTRK1",".3675981685054277","281"
"2109","AZ6102","TNKS1, TNKS2",".36910112400919609","281"
"1866","BDP-00009066","MRCKB_HUMAN",".37947784738924756","281"
"1738","IGF1R_3801","IGFR1",".38572386133556485","281"
"1834","743380","",".3899410718972538","281"
"1030","KU-55933","ATM",".39538868655171011","281"
"1819","Docetaxel","Microtubule stabiliser",".39875411546915401","281"
"1785","LMB_AB3","PPP1R15B",".39969103493586433","281"
"1852","LY2109761","TGFB1",".4014546317263234","281"
"1017","Olaparib","PARP1, PARP2",".41968250371749921","281"
"1373","Dabrafenib","BRAF",".42136445458982369","281"
"1712","Eg5_9814","KSP11",".42641043700167613","281"
"2148","POMHEX","",".42883756247943189","281"
"1441","AZD2014","mTORC1, mTORC2",".43408988971513868","281"
"1922","Cediranib","VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB",".43888402615765476","281"
"2107","LJI308","RSK2, RSK1, RSK3",".45921450652914003","281"
"2096","VX-11e","ERK2",".46420476884391876","281"
"1778","GSK2110183B","AKT1, AKT2, AKT3",".46954860688967542","281"
"1997","WEHI-539","BCL-XL",".47498810966778338","281"
"1072","Avagacestat","Amyloid beta20, Amyloid beta40",".47885293671761775","281"
"1011","Navitoclax","BCL2, BCL-XL, BCL-W",".50213399795594671","281"
"2112","VTP-A","",".5275211869292884","281"
"2040","Foretinib","MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR",".52801889693106974","281"
"1996","MIM1","MCL1",".5455576812998677","281"
"2045","AMG-319","PI3K (beta sparing)",".56681277091487348","281"
"1847","BEN","",".57642833767598545","281"
"1012","Vorinostat","HDAC inhibitor Class I, IIa, IIb, IV",".58449804149099482","281"
"1918","AZD8186","PI3Kalpha, PI3Kbeta",".58756190643918949","281"
"1013","Nilotinib","ABL",".59114597585385198","281"
"1862","MG-132","Proteasome, CAPN1",".59300103491268752","281"
"2010","HKMTI-1-005","",".61111060443201781","281"
"1016","Temsirolimus","MTOR",".61286814541211365","281"
"1375","Temozolomide","DNA alkylating agent",".62961212652914178","281"
"2046","MK-8776","CHEK1, CHEK2, CDK2",".63325961162100242","281"
"1175","Rucaparib","PARP1, PARP2",".64097021970891599","281"
"1593","Entinostat","HDAC1, HDAC3",".64726688288300327","281"
"1804","Acetalax","",".66348583007467621","281"
"1059","AZD8055","MTORC1, MTORC2",".67007930270224803","281"
"1910","ABT737","BCL2, BCL-XL,  BCL-W, BCL-B, BFL1",".69492846788326612","281"
"1854","MN-64","TNKS1, TNKS2",".69571358577132025","281"
"1730","PAK_5339","PAK1, PAK2",".73299754597534028","281"
"1916","AZD5363","AKT1, AKT2, AKT3, ROCK2",".76358094936794441","281"
"1053","MK-2206","AKT1, AKT2",".76397378061608567","281"
"1803","Acetalax","",".77151871119782622","281"
"1268","XAV939","TNKS1, TNKS2",".77338138762227948","281"
"2170","AT13148","AKT1",".77340527646690249","281"
"1084","Rapamycin","MTORC1",".78878941561386651","281"
"1553","Uprosertib","AKT1, AKT2, AKT3",".83486910281374405","281"
"1924","Ipatasertib","AKT1, AKT, AKT3",".84557165247178767","281"
"1853","OF-1","BRPF1B, BRPF2",".87524154723979519","281"
"1845","Schweinfurthin A","",".88375729027559158","281"
"1613","VE-822","ATR",".91294864010913868","281"
"1732","TAF1_5496","TAF1",".91833509456600393","281"
"1069","EHT-1864","RAC1, RAC2, RAC3","1.0107359591886174","281"
"2057","Remodelin","","1.0396460040837765","281"
"1739","JAK_8517","JAK1, JAK2","1.0814679573572177","281"
"1594","OSI-027","MTORC1, MTORC2","1.2343389113086609","281"
"2106","Uprosertib","AKT1, AKT2, AKT3","1.3806437713288666","281"
"1912","Afuresertib","AKT1, AKT2, AKT3","1.3978506640935351","281"
