Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Measurement date,
1,1,="",14.71,23.73,23.73,34.1,34,23.25,23.34,10/9/2023 2:47:31 PM,
2,1,="",14.71,23.73,23.73,34.3,34,23.34,23.44,10/9/2023 2:48:39 PM,
3,1,="",14.71,23.73,23.73,33.7,33.8,23.54,23.54,10/9/2023 2:49:50 PM,
4,1,="",14.71,23.73,23.83,33.5,34.1,23.64,23.54,10/9/2023 2:50:59 PM,
5,1,="",14.71,23.83,23.83,33.8,33.7,23.44,23.54,10/9/2023 2:52:06 PM,
6,1,="",14.76,23.83,23.83,33.8,34,23.44,23.34,10/9/2023 2:53:15 PM,


Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,new alamar blue,0,1350,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),
2,new alamar blue,0,1330,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),
3,new alamar blue,0,1340,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),
4,new alamar blue,0,1237,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),
5,new alamar blue,0,1280,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),
6,new alamar blue,0,1375,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),,
1,G16,328634,00:00:15.346,
1,G17,337127,00:00:15.440,
1,G18,352835,00:00:15.535,
1,G19,395055,00:00:15.629,
1,G20,394148,00:00:15.723,
1,G21,373762,00:00:15.818,
1,G22,412075,00:00:15.913,
1,G23,208744,00:00:16.007,
1,G24,194393,00:00:16.102,
1,H01,431172,00:00:18.426,
1,H02,358529,00:00:18.332,
1,H03,357099,00:00:18.237,
1,H04,407166,00:00:18.143,
1,H05,376080,00:00:18.049,
1,H06,376419,00:00:17.955,
1,H07,301423,00:00:17.860,
1,H08,311414,00:00:17.766,
1,H09,375131,00:00:17.671,
1,H10,363631,00:00:17.578,
1,H11,390055,00:00:17.484,
1,H12,351286,00:00:17.388,
1,H13,341945,00:00:17.294,
1,H14,367743,00:00:17.201,
1,H15,379254,00:00:17.107,
1,H16,353108,00:00:17.013,
1,H17,354735,00:00:16.919,
1,H18,346456,00:00:16.824,
1,H19,364102,00:00:16.730,
1,H20,342967,00:00:16.636,
1,H21,368131,00:00:16.541,
1,H22,351288,00:00:16.447,
1,H23,194880,00:00:16.354,
1,H24,175333,00:00:16.259,
1,I01,183585,00:00:18.583,
1,I02,160472,00:00:18.677,
1,I03,360087,00:00:18.771,
1,I04,360519,00:00:18.865,
1,I05,355085,00:00:18.959,
1,I06,360037,00:00:19.053,
1,I07,344051,00:00:19.147,
1,I08,327842,00:00:19.242,
1,I09,273003,00:00:19.336,
1,I10,260422,00:00:19.430,
1,I11,326178,00:00:19.525,
1,I12,320389,00:00:19.618,
1,I13,312749,00:00:19.713,
1,I14,337461,00:00:19.807,
1,I15,320099,00:00:19.902,
1,I16,344691,00:00:19.996,
1,I17,327720,00:00:20.090,
1,I18,345958,00:00:20.184,
1,I19,101294,00:00:20.278,
1,I20,116138,00:00:20.371,
1,I21,348718,00:00:20.466,
1,I22,385000,00:00:20.560,
1,I23,401937,00:00:20.654,
1,I24,452936,00:00:20.749,
1,J01,189909,00:00:23.068,
1,J02,146560,00:00:22.974,
1,J03,409793,00:00:22.880,
1,J04,365008,00:00:22.786,
1,J05,381201,00:00:22.693,
1,J06,374118,00:00:22.599,
1,J07,363897,00:00:22.504,
1,J08,349887,00:00:22.411,
1,J09,252007,00:00:22.317,
1,J10,360256,00:00:22.223,
1,J11,368064,00:00:22.130,
1,J12,353631,00:00:22.035,
1,J13,360987,00:00:21.941,
1,J14,370888,00:00:21.847,
1,J15,373968,00:00:21.753,
1,J16,382925,00:00:21.658,
1,J17,354776,00:00:21.564,
1,J18,409269,00:00:21.471,
1,J19,109484,00:00:21.377,
1,J20,351496,00:00:21.283,
1,J21,345141,00:00:21.189,
1,J22,378910,00:00:21.095,
1,J23,385059,00:00:21.000,
1,J24,378634,00:00:20.906,
1,K01,184457,00:00:23.225,
1,K02,154853,00:00:23.319,
1,K03,370571,00:00:23.412,
1,K04,348307,00:00:23.506,
1,K05,340987,00:00:23.600,
1,K06,366683,00:00:23.695,
1,K07,312762,00:00:23.789,
1,K08,334300,00:00:23.883,
1,K09,326323,00:00:23.977,
1,K10,323030,00:00:24.072,
1,K11,341171,00:00:24.166,
1,K12,312416,00:00:24.260,
1,K13,327256,00:00:24.353,
1,K14,319503,00:00:24.447,
1,K15,316923,00:00:24.541,
1,K16,349636,00:00:24.635,
1,K17,340844,00:00:24.729,
1,K18,345105,00:00:24.823,
1,K19,363683,00:00:24.918,
1,K20,346359,00:00:25.012,
1,K21,312911,00:00:25.106,
1,K22,328986,00:00:25.200,
1,K23,417703,00:00:25.294,
1,K24,395522,00:00:25.388,
1,L01,194750,00:00:27.713,
1,L02,214859,00:00:27.619,
1,L03,387398,00:00:27.525,
1,L04,370619,00:00:27.431,
1,L05,392416,00:00:27.337,
1,L06,376245,00:00:27.243,
1,L07,354260,00:00:27.149,
1,L08,419788,00:00:27.054,
1,L09,367931,00:00:26.960,
1,L10,346371,00:00:26.865,
1,L11,356599,00:00:26.771,
1,L12,370996,00:00:26.677,
1,L13,385538,00:00:26.584,
1,L14,355539,00:00:26.490,
1,L15,348535,00:00:26.396,
1,L16,333222,00:00:26.302,
1,L17,359240,00:00:26.208,
1,L18,358903,00:00:26.114,
1,L19,358183,00:00:26.020,
1,L20,360297,00:00:25.926,
1,L21,340819,00:00:25.831,
1,L22,353067,00:00:25.737,
1,L23,384050,00:00:25.643,
1,L24,398125,00:00:25.548,
1,M01,151992,00:00:27.870,
1,M02,143049,00:00:27.964,
1,M03,336584,00:00:28.059,
1,M04,378822,00:00:28.153,
1,M05,362489,00:00:28.247,
1,M06,335683,00:00:28.342,
1,M07,297964,00:00:28.436,
1,M08,343883,00:00:28.530,
1,M09,313988,00:00:28.623,
1,M10,336973,00:00:28.717,
1,M11,206044,00:00:28.811,
1,M12,201725,00:00:28.906,
1,M13,362560,00:00:29.000,
1,M14,325855,00:00:29.094,
1,M15,368767,00:00:29.188,
1,M16,367536,00:00:29.282,
1,M17,341809,00:00:29.377,
1,M18,310079,00:00:29.471,
1,M19,369760,00:00:29.565,
1,M20,356845,00:00:29.659,
1,M21,388651,00:00:29.752,
1,M22,379221,00:00:29.846,
1,M23,383807,00:00:29.940,
1,M24,415832,00:00:30.034,
1,N01,196386,00:00:32.356,
1,N02,218834,00:00:32.262,
1,N03,386090,00:00:32.169,
1,N04,419462,00:00:32.075,
1,N05,426304,00:00:31.981,
1,N06,405258,00:00:31.887,
1,N07,389106,00:00:31.793,
1,N08,389591,00:00:31.699,
1,N09,424101,00:00:31.605,
1,N10,369019,00:00:31.511,
1,N11,223828,00:00:31.417,
1,N12,377875,00:00:31.322,
1,N13,405119,00:00:31.228,
1,N14,367749,00:00:31.135,
1,N15,398602,00:00:31.040,
1,N16,375771,00:00:30.946,
1,N17,343021,00:00:30.851,
1,N18,380911,00:00:30.757,
1,N19,337108,00:00:30.663,
1,N20,377794,00:00:30.568,
1,N21,363359,00:00:30.475,
1,N22,377105,00:00:30.381,
1,N23,398777,00:00:30.286,
1,N24,376219,00:00:30.191,
1,O01,201489,00:00:32.516,
1,O02,191541,00:00:32.610,
1,O03,374588,00:00:32.704,
1,O04,378297,00:00:32.798,
1,O05,411662,00:00:32.892,
1,O06,399797,00:00:32.987,
1,O07,369331,00:00:33.081,
1,O08,346083,00:00:33.175,
1,O09,314399,00:00:33.269,
1,O10,306782,00:00:33.363,
1,O11,362643,00:00:33.458,
1,O12,367379,00:00:33.551,
1,O13,470746,00:00:33.646,
1,O14,353218,00:00:33.740,
1,O15,368039,00:00:33.834,
1,O16,353476,00:00:33.927,
1,O17,361929,00:00:34.021,
1,O18,372576,00:00:34.115,
1,O19,286260,00:00:34.209,
1,O20,286059,00:00:34.303,
1,O21,385762,00:00:34.396,
1,O22,400404,00:00:34.491,
1,O23,398693,00:00:34.585,
1,O24,387551,00:00:34.678,
1,P01,192210,00:00:37.000,
1,P02,178960,00:00:36.906,
1,P03,400658,00:00:36.811,
1,P04,427487,00:00:36.717,
1,P05,415064,00:00:36.623,
1,P06,410970,00:00:36.529,
1,P07,399210,00:00:36.434,
1,P08,392811,00:00:36.341,
1,P09,373277,00:00:36.247,
1,P10,387360,00:00:36.153,
1,P11,389924,00:00:36.059,
1,P12,396889,00:00:35.965,
1,P13,367553,00:00:35.870,
1,P14,399067,00:00:35.776,
1,P15,388365,00:00:35.682,
1,P16,396766,00:00:35.589,
1,P17,420008,00:00:35.494,
1,P18,402733,00:00:35.399,
1,P19,255620,00:00:35.305,
1,P20,348018,00:00:35.211,
1,P21,357918,00:00:35.118,
1,P22,352939,00:00:35.024,
1,P23,362821,00:00:34.930,
1,P24,388405,00:00:34.836,

,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),,
Plate,Well,Signal,MeasTime,
2,A01,391283,00:00:00.000,
2,A02,395893,00:00:00.094,
2,A03,389359,00:00:00.187,
2,A04,413608,00:00:00.281,
2,A05,381023,00:00:00.375,
2,A06,329123,00:00:00.469,
2,A07,326773,00:00:00.562,
2,A08,322120,00:00:00.656,
2,A09,323821,00:00:00.749,
2,A10,315670,00:00:00.843,
2,A11,329413,00:00:00.936,
2,A12,282908,00:00:01.031,
2,A13,349863,00:00:01.124,
2,A14,283905,00:00:01.218,
2,A15,349337,00:00:01.312,
2,A16,341380,00:00:01.406,
2,A17,332994,00:00:01.500,
2,A18,367747,00:00:01.594,
2,A19,312454,00:00:01.688,
2,A20,313550,00:00:01.781,
2,A21,296169,00:00:01.874,
2,A22,289247,00:00:01.968,
2,A23,165326,00:00:02.061,
2,A24,141769,00:00:02.155,
2,B01,402602,00:00:04.467,
2,B02,365681,00:00:04.374,
2,B03,371729,00:00:04.280,
2,B04,369259,00:00:04.187,
2,B05,341802,00:00:04.093,
2,B06,295992,00:00:03.999,
2,B07,329482,00:00:03.906,
2,B08,324606,00:00:03.813,
2,B09,298655,00:00:03.719,
2,B10,313381,00:00:03.626,
2,B11,332907,00:00:03.532,
2,B12,317697,00:00:03.437,
2,B13,320952,00:00:03.344,
2,B14,327497,00:00:03.249,
2,B15,331406,00:00:03.155,
2,B16,364740,00:00:03.061,
2,B17,320937,00:00:02.967,
2,B18,345922,00:00:02.874,
2,B19,292876,00:00:02.780,
2,B20,301282,00:00:02.687,
2,B21,267384,00:00:02.594,
2,B22,337491,00:00:02.500,
2,B23,143298,00:00:02.406,
2,B24,139040,00:00:02.313,
2,C01,382317,00:00:04.627,
2,C02,352677,00:00:04.721,
2,C03,356000,00:00:04.815,
2,C04,314962,00:00:04.909,
2,C05,151000,00:00:05.002,
2,C06,188823,00:00:05.097,
2,C07,272493,00:00:05.191,
2,C08,263211,00:00:05.285,
2,C09,275529,00:00:05.379,
2,C10,300502,00:00:05.473,
2,C11,245387,00:00:05.566,
2,C12,230006,00:00:05.660,
2,C13,107008,00:00:05.754,
2,C14,102891,00:00:05.848,
2,C15,179870,00:00:05.942,
2,C16,160437,00:00:06.036,
2,C17,306908,00:00:06.129,
2,C18,317732,00:00:06.223,
2,C19,118390,00:00:06.317,
2,C20,95959,00:00:06.410,
2,C21,43559,00:00:06.505,
2,C22,44117,00:00:06.598,
2,C23,134011,00:00:06.693,
2,C24,136917,00:00:06.787,
2,D01,375438,00:00:09.102,
2,D02,307291,00:00:09.008,
2,D03,307755,00:00:08.915,
2,D04,304769,00:00:08.820,
2,D05,177210,00:00:08.727,
2,D06,277030,00:00:08.633,
2,D07,245367,00:00:08.539,
2,D08,315703,00:00:08.445,
2,D09,269036,00:00:08.351,
2,D10,306543,00:00:08.257,
2,D11,263958,00:00:08.164,
2,D12,311463,00:00:08.070,
2,D13,131146,00:00:07.977,
2,D14,321248,00:00:07.883,
2,D15,156339,00:00:07.789,
2,D16,316583,00:00:07.695,
2,D17,303750,00:00:07.601,
2,D18,281725,00:00:07.506,
2,D19,102825,00:00:07.412,
2,D20,277552,00:00:07.319,
2,D21,45721,00:00:07.226,
2,D22,356222,00:00:07.132,
2,D23,119402,00:00:07.037,
2,D24,129007,00:00:06.944,
2,E01,380232,00:00:09.262,
2,E02,400068,00:00:09.355,
2,E03,352161,00:00:09.448,
2,E04,329538,00:00:09.542,
2,E05,341762,00:00:09.636,
2,E06,342095,00:00:09.730,
2,E07,201306,00:00:09.823,
2,E08,206546,00:00:09.916,
2,E09,254042,00:00:10.010,
2,E10,256256,00:00:10.103,
2,E11,289221,00:00:10.197,
2,E12,288955,00:00:10.292,
2,E13,295003,00:00:10.386,
2,E14,291621,00:00:10.479,
2,E15,314923,00:00:10.572,
2,E16,337193,00:00:10.665,
2,E17,304584,00:00:10.760,
2,E18,292072,00:00:10.853,
2,E19,190606,00:00:10.947,
2,E20,248309,00:00:11.041,
2,E21,274670,00:00:11.135,
2,E22,328402,00:00:11.228,
2,E23,148989,00:00:11.322,
2,E24,155375,00:00:11.416,
2,F01,330079,00:00:13.729,
2,F02,303573,00:00:13.636,
2,F03,329650,00:00:13.543,
2,F04,362341,00:00:13.448,
2,F05,335854,00:00:13.354,
2,F06,329917,00:00:13.261,
2,F07,201506,00:00:13.168,
2,F08,335328,00:00:13.074,
2,F09,243971,00:00:12.980,
2,F10,310235,00:00:12.887,
2,F11,289588,00:00:12.793,
2,F12,308948,00:00:12.699,
2,F13,320144,00:00:12.605,
2,F14,323202,00:00:12.511,
2,F15,325198,00:00:12.417,
2,F16,329048,00:00:12.324,
2,F17,324169,00:00:12.230,
2,F18,323375,00:00:12.136,
2,F19,212989,00:00:12.042,
2,F20,281708,00:00:11.948,
2,F21,284874,00:00:11.855,
2,F22,306532,00:00:11.760,
2,F23,138922,00:00:11.667,
2,F24,128367,00:00:11.573,
2,G01,385151,00:00:13.889,
2,G02,332903,00:00:13.983,
2,G03,306031,00:00:14.077,
2,G04,328989,00:00:14.170,
2,G05,308131,00:00:14.264,
2,G06,292309,00:00:14.358,
2,G07,247301,00:00:14.452,
2,G08,228818,00:00:14.546,
2,G09,328482,00:00:14.640,
2,G10,247928,00:00:14.734,
2,G11,256986,00:00:14.827,
2,G12,250854,00:00:14.920,
2,G13,293696,00:00:15.014,
2,G14,307566,00:00:15.108,
2,G15,270291,00:00:15.202,
2,G16,302641,00:00:15.297,
2,G17,240107,00:00:15.390,
2,G18,261511,00:00:15.485,
2,G19,333090,00:00:15.578,
2,G20,302036,00:00:15.672,
2,G21,307669,00:00:15.767,
2,G22,310797,00:00:15.861,
2,G23,186933,00:00:15.955,
2,G24,153137,00:00:16.050,
2,H01,349455,00:00:18.365,
2,H02,295464,00:00:18.271,
2,H03,338970,00:00:18.177,
2,H04,327237,00:00:18.083,
2,H05,355211,00:00:17.990,
2,H06,320914,00:00:17.896,
2,H07,274237,00:00:17.802,
2,H08,307527,00:00:17.708,
2,H09,300176,00:00:17.614,
2,H10,312770,00:00:17.521,
2,H11,295834,00:00:17.427,
2,H12,281764,00:00:17.332,
2,H13,277157,00:00:17.238,
2,H14,305410,00:00:17.144,
2,H15,285503,00:00:17.051,
2,H16,312626,00:00:16.958,
2,H17,293208,00:00:16.864,
2,H18,298074,00:00:16.769,
2,H19,316858,00:00:16.676,
2,H20,286198,00:00:16.582,
2,H21,273223,00:00:16.487,
2,H22,289071,00:00:16.394,
2,H23,157920,00:00:16.301,
2,H24,160242,00:00:16.206,
2,I01,165038,00:00:18.522,
2,I02,171784,00:00:18.615,
2,I03,381056,00:00:18.709,
2,I04,326796,00:00:18.803,
2,I05,324219,00:00:18.897,
2,I06,291967,00:00:18.990,
2,I07,289917,00:00:19.084,
2,I08,276600,00:00:19.179,
2,I09,216291,00:00:19.273,
2,I10,228815,00:00:19.366,
2,I11,269833,00:00:19.460,
2,I12,262818,00:00:19.554,
2,I13,329797,00:00:19.648,
2,I14,289010,00:00:19.742,
2,I15,287475,00:00:19.836,
2,I16,290463,00:00:19.930,
2,I17,254665,00:00:20.023,
2,I18,252096,00:00:20.117,
2,I19,97475,00:00:20.211,
2,I20,94877,00:00:20.304,
2,I21,287604,00:00:20.398,
2,I22,278036,00:00:20.492,
2,I23,325021,00:00:20.586,
2,I24,400050,00:00:20.680,
2,J01,162875,00:00:22.992,
2,J02,160879,00:00:22.898,
2,J03,341921,00:00:22.805,
2,J04,328759,00:00:22.712,
2,J05,323299,00:00:22.619,
2,J06,346810,00:00:22.525,
2,J07,276144,00:00:22.431,
2,J08,354074,00:00:22.337,
2,J09,214001,00:00:22.244,
2,J10,315097,00:00:22.150,
2,J11,312953,00:00:22.057,
2,J12,312860,00:00:21.963,
2,J13,321697,00:00:21.869,
2,J14,301918,00:00:21.775,
2,J15,296975,00:00:21.681,
2,J16,319949,00:00:21.587,
2,J17,257586,00:00:21.493,
2,J18,314657,00:00:21.400,
2,J19,96693,00:00:21.307,
2,J20,315569,00:00:21.213,
2,J21,269866,00:00:21.119,
2,J22,330463,00:00:21.025,
2,J23,357210,00:00:20.931,
2,J24,353785,00:00:20.837,
2,K01,178527,00:00:23.149,
2,K02,160169,00:00:23.243,
2,K03,346901,00:00:23.336,
2,K04,326369,00:00:23.430,
2,K05,309605,00:00:23.523,
2,K06,331610,00:00:23.617,
2,K07,273559,00:00:23.711,
2,K08,288235,00:00:23.805,
2,K09,313991,00:00:23.899,
2,K10,328577,00:00:23.993,
2,K11,306028,00:00:24.087,
2,K12,292695,00:00:24.180,
2,K13,254939,00:00:24.274,
2,K14,236760,00:00:24.367,
2,K15,327490,00:00:24.460,
2,K16,303700,00:00:24.554,
2,K17,309933,00:00:24.648,
2,K18,298431,00:00:24.742,
2,K19,303195,00:00:24.836,
2,K20,308154,00:00:24.930,
2,K21,228418,00:00:25.024,
2,K22,237868,00:00:25.118,
2,K23,352228,00:00:25.211,
2,K24,403605,00:00:25.305,
2,L01,151870,00:00:27.622,
2,L02,172676,00:00:27.529,
2,L03,377420,00:00:27.435,
2,L04,359750,00:00:27.341,
2,L05,353352,00:00:27.247,
2,L06,357847,00:00:27.154,
2,L07,301208,00:00:27.060,
2,L08,350752,00:00:26.966,
2,L09,311556,00:00:26.872,
2,L10,317821,00:00:26.778,
2,L11,340134,00:00:26.683,
2,L12,339750,00:00:26.590,
2,L13,316246,00:00:26.497,
2,L14,351454,00:00:26.403,
2,L15,328598,00:00:26.309,
2,L16,341589,00:00:26.216,
2,L17,319030,00:00:26.122,
2,L18,322918,00:00:26.028,
2,L19,321645,00:00:25.935,
2,L20,325205,00:00:25.841,
2,L21,250022,00:00:25.747,
2,L22,330835,00:00:25.653,
2,L23,344684,00:00:25.559,
2,L24,381896,00:00:25.465,
2,M01,183999,00:00:27.779,
2,M02,171277,00:00:27.873,
2,M03,347784,00:00:27.967,
2,M04,343464,00:00:28.061,
2,M05,285849,00:00:28.155,
2,M06,298987,00:00:28.250,
2,M07,307547,00:00:28.343,
2,M08,283816,00:00:28.437,
2,M09,327338,00:00:28.530,
2,M10,311834,00:00:28.623,
2,M11,129528,00:00:28.717,
2,M12,94958,00:00:28.811,
2,M13,289864,00:00:28.905,
2,M14,339730,00:00:28.999,
2,M15,316364,00:00:29.093,
2,M16,314308,00:00:29.187,
2,M17,274740,00:00:29.281,
2,M18,287479,00:00:29.374,
2,M19,276311,00:00:29.468,
2,M20,307811,00:00:29.562,
2,M21,327918,00:00:29.655,
2,M22,338217,00:00:29.748,
2,M23,329153,00:00:29.841,
2,M24,386492,00:00:29.936,
2,N01,161507,00:00:32.250,
2,N02,165515,00:00:32.157,
2,N03,321201,00:00:32.064,
2,N04,362239,00:00:31.970,
2,N05,284153,00:00:31.876,
2,N06,338825,00:00:31.783,
2,N07,304150,00:00:31.689,
2,N08,360536,00:00:31.595,
2,N09,367779,00:00:31.502,
2,N10,317573,00:00:31.408,
2,N11,125580,00:00:31.314,
2,N12,314215,00:00:31.220,
2,N13,377171,00:00:31.126,
2,N14,343263,00:00:31.033,
2,N15,312680,00:00:30.939,
2,N16,338252,00:00:30.844,
2,N17,272422,00:00:30.750,
2,N18,357808,00:00:30.656,
2,N19,289078,00:00:30.563,
2,N20,311819,00:00:30.469,
2,N21,359580,00:00:30.375,
2,N22,343253,00:00:30.282,
2,N23,341081,00:00:30.187,
2,N24,422304,00:00:30.093,
2,O01,177006,00:00:32.410,
2,O02,184199,00:00:32.503,
2,O03,355348,00:00:32.597,
2,O04,348552,00:00:32.691,
2,O05,295919,00:00:32.785,
2,O06,295258,00:00:32.879,
