Results for Tim_CTB(1) - channel 1 (RFU),,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,
A,116482,109026,103663,119316,108732,126040,128345,136724,122005,100793,95414,27856,,,,
B,135135,137614,52507,101540,89666,99334,66053,75729,125501,45903,47961,29618,,,,
C,131019,140271,138606,67356,81759,106285,136925,134742,120004,121305,116853,28434,,,,
D,122331,122494,118617,55794,108639,106321,129120,102274,98065,147078,114198,29414,,,,
E,29825,117874,84856,88806,88398,29984,123921,118753,85385,50042,125912,115760,,,,
F,30751,106095,95492,92026,98140,107687,69960,112470,124083,98293,102890,113773,,,,
G,29557,108123,90147,80679,104953,48317,123334,135832,96408,110160,118493,116330,,,,
H,29361,123098,80774,80443,87336,79006,113706,111973,128102,56684,93849,122728,,,,
,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date
5,1,,14.78,23.25,23.25,26.2,26.4,23.05,22.86,1,Tim_CTB(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,12/12/22 12:33
,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,
5,Tim_CTB,0,1061,1,00:00.0,De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
,,,,,,,,,,,,,,,,
Results for Tim_CTB(1) - channel 1 (RFU),,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,
A,102665,95627,117475,107472,111138,118924,132169,127733,126481,104200,93010,29234,,,,
B,107394,99710,111386,77582,76024,73514,58542,64020,103766,43158,45732,28578,,,,
C,112808,106527,124302,62257,74987,90900,123598,118923,122966,115277,108116,29010,,,,
D,108832,99956,120351,53790,94354,86954,120112,99318,96822,142621,103876,29917,,,,
E,29228,98262,79682,76986,86909,30700,115086,116933,80026,47111,105821,115592,,,,
F,28695,95535,89515,93765,80556,94390,62203,98049,106778,97788,94650,110950,,,,
G,28238,96718,86067,79432,91043,45434,113072,125327,90308,105614,115947,113959,,,,
H,28826,91798,69536,76527,81097,69865,93757,99958,123721,55205,90031,108611,,,,
,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date
6,1,,14.78,23.25,23.27,26.4,26.6,22.76,22.78,1,Tim_CTB(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,12/12/22 12:34
,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,
6,Tim_CTB,0,1030,1,00:00.0,De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
,,,,,,,,,,,,,,,,
Results for Tim_CTB(1) - channel 1 (RFU),,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,
A,103334,104416,88765,102077,103877,106759,96739,101115,91954,83638,74444,28574,,,,
B,89213,111074,49995,80945,79546,74575,55512,57796,100906,45862,44269,28527,,,,
C,89206,117959,121985,63713,72117,93791,106035,103752,98384,95895,86817,28589,,,,
D,88122,111611,104554,53404,98025,92100,99966,81121,84924,113001,89510,31972,,,,
E,30982,111621,74784,78746,79137,33059,81056,91162,68527,44983,97054,106634,,,,
F,30359,83395,86307,91864,89684,98408,61933,97158,92171,85979,95643,104964,,,,
G,30422,92484,83037,77664,97659,43437,104025,105965,85612,96970,90906,110147,,,,
H,29392,102520,78276,69688,91531,67686,87731,92227,115924,52658,79970,108989,,,,
,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date
7,1,,14.78,23.25,23.25,26.4,26.6,22.95,22.95,1,Tim_CTB(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,12/12/22 12:34
,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,
7,Tim_CTB,0,1056,1,00:00.0,De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
,,,,,,,,,,,,,,,,
Results for Tim_CTB(1) - channel 1 (RFU),,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,
A,99275,93051,82960,95951,104606,108142,106192,108448,98763,89329,80501,28180,,,,
B,95390,113920,52813,82939,78806,83359,57417,58722,100011,44890,45168,29065,,,,
C,93059,114467,119618,63561,70787,92413,105843,106275,96943,97512,96731,27989,,,,
D,87810,109554,99149,53351,97537,85138,104170,90831,86941,120400,97800,31319,,,,
E,31615,99468,67043,73140,79525,30445,96607,99290,70611,44848,111408,101103,,,,
F,30746,82302,78396,91432,77677,97817,61936,93520,103655,85827,96865,103919,,,,
G,29069,94475,79183,74035,94940,44137,106938,113937,82855,95228,98266,105910,,,,
H,29655,112824,131648,58540,80821,59366,80066,84318,107113,50618,81407,108579,,,,
,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date
8,1,,14.78,23.25,23.34,26.2,26.2,22.86,22.95,1,Tim_CTB(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,12/12/22 12:35
,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,
8,Tim_CTB,0,1120,1,00:00.0,De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
,,,,,,,,,,,,,,,,
Results for Tim_CTB(1) - channel 1 (RFU),,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,
A,111996,103948,96755,114140,115629,128167,108051,120391,111546,97484,87665,28720,,,,
B,91427,117751,56078,94020,85102,87703,55921,56325,107478,47664,48031,29382,,,,
C,87002,114489,130060,69174,76704,101079,119348,119790,106953,107527,106558,28094,,,,
D,89186,109611,124707,57071,116750,100470,120622,96705,95462,137261,101902,31201,,,,
E,30646,112883,79797,88308,93667,29611,98280,109407,76330,46272,119692,114650,,,,
F,30004,85390,95802,108263,96373,109729,65884,104576,110061,96978,105757,115963,,,,
G,29025,110092,76787,73830,103058,45705,104248,118454,86322,103894,107138,114730,,,,
H,29745,106614,77277,69466,96622,64381,83453,87528,107597,50929,85910,109764,,,,
,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date
9,1,,14.78,23.34,23.34,26.1,26.1,23.15,23.15,1,Tim_CTB(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,12/12/22 12:36
,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,
9,Tim_CTB,0,1070,1,00:00.0,De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
,,,,,,,,,,,,,,,,
Results for Tim_CTB(1) - channel 1 (RFU),,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,
A,97305,116348,99486,104433,130062,116556,114666,115713,117580,84823,116578,29166,,,,
B,113027,131607,60073,110676,121933,107813,134498,127650,119626,58437,54053,30700,,,,
C,116332,141362,134068,90143,87740,124902,133757,120480,129563,99872,122816,29196,,,,
D,108453,127810,115223,67877,117520,118434,133756,119314,109467,101972,115922,30319,,,,
E,30982,114979,113869,116067,97192,124180,127321,124146,100110,59132,100066,98988,,,,
F,30436,115342,101902,107177,110895,116860,117492,120419,124663,112134,118679,103756,,,,
G,29602,113529,105678,103820,110470,71423,124238,117633,112484,113355,111045,105091,,,,
H,29771,119436,114773,91634,95094,94852,105047,115921,128749,60598,110769,103797,,,,
,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date
10,1,,14.78,23.34,23.34,26.1,26.1,23.05,22.95,1,Tim_CTB(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,12/12/22 12:36
,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,
10,Tim_CTB,0,1136,1,00:00.0,De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
,,,,,,,,,,,,,,,,
Results for Tim_CTB(1) - channel 1 (RFU),,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,
A,101964,119158,101972,109984,112628,112320,108428,121611,122362,86928,110998,28433,,,,
B,102605,113121,59252,104196,114132,112724,128783,123696,112680,62106,51992,30597,,,,
C,104097,117263,130198,86948,92516,121634,136869,130775,128094,102999,116669,29169,,,,
D,107174,117820,115351,72607,120526,118511,123348,120923,113486,111171,122044,30381,,,,
E,30904,117455,120643,115750,107904,127888,124506,123774,103967,55168,108288,105068,,,,
F,30090,122558,104788,113318,119324,107751,111836,120144,119032,119245,116776,101683,,,,
G,29776,113638,115118,112114,103305,68384,119132,118925,107551,106883,112463,102122,,,,
H,29335,116036,113084,103888,106468,99921,108376,109555,124682,57294,107394,106652,,,,
,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date
11,1,,14.78,23.34,23.34,25.9,25.9,23.05,23.15,1,Tim_CTB(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,12/12/22 12:37
,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,
11,Tim_CTB,0,1202,1,00:00.0,De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
,,,,,,,,,,,,,,,,
Results for Tim_CTB(1) - channel 1 (RFU),,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,
A,94900,109408,102179,99456,108066,111349,112407,122804,121497,99684,117809,29492,,,,
B,107038,117481,63286,107729,113910,96650,122151,121783,106026,61068,52341,30733,,,,
C,112091,269813,126961,79749,84348,214144,116916,125967,123648,113089,115960,29340,,,,
D,109737,113734,113188,67563,107734,110298,115584,115954,113115,118724,119115,30293,,,,
E,31510,102444,106618,107198,229990,113193,113776,116251,96250,56277,108109,101698,,,,
F,30848,101579,94514,92586,94233,106895,100249,116247,115314,112411,113164,100606,,,,
G,30558,108476,100294,94528,100787,69174,112453,115188,102255,109965,113156,104726,,,,
H,30367,109424,111649,96920,96162,90643,100550,112492,125416,60312,109778,106613,,,,
,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date
12,1,,14.78,23.34,23.34,26.2,26.2,23.05,23.15,1,Tim_CTB(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,12/12/22 12:38
,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,
12,Tim_CTB,0,1127,1,00:00.0,De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
,,,,,,,,,,,,,,,,
Results for Tim_CTB(1) - channel 1 (RFU),,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,
A,110251,128345,108922,122360,113860,128555,120307,136390,132096,111045,96753,28152,,,,
B,110275,129915,65506,100270,100923,93363,81757,74814,127284,49810,50452,30058,,,,
C,113531,142598,143686,88412,89266,114492,141513,142586,136350,133776,121052,29803,,,,
D,113520,139581,136926,67050,120217,116457,140538,115021,126840,163745,116173,30714,,,,
E,31121,140457,95762,110787,111415,29706,129677,129993,92395,57962,132791,111817,,,,
F,31526,138543,114030,116921,106650,136983,90283,123062,127987,119045,124386,114116,,,,
G,29464,125316,99006,101223,123114,55720,131093,136239,114179,121768,124690,114803,,,,
H,29817,124863,99068,94225,95818,92905,115761,122573,146885,59654,115778,110893,,,,
,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date
13,1,,14.78,23.34,23.36,26.1,26.2,23.15,23.27,1,Tim_CTB(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,12/12/22 12:39
,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,
13,Tim_CTB,0,1084,1,00:00.0,De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
,,,,,,,,,,,,,,,,
Results for Tim_CTB(1) - channel 1 (RFU),,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,
A,106555,121548,104227,120785,118666,124143,114028,124546,121195,110447,104821,28461,,,,
B,107615,128260,64021,99298,97227,98029,67745,68610,112242,52162,52900,30270,,,,
C,109555,127285,150525,84612,90622,112536,130757,125587,285316,122103,125850,29536,,,,
D,107803,131224,127962,65335,121394,117586,126638,101356,117753,155284,119950,30308,,,,
E,30529,126597,91672,103315,104391,30220,123162,114186,133737,54587,416673,113209,,,,
F,29442,123054,111650,130384,100291,127752,76500,267465,121547,114841,123843,111614,,,,
G,30013,122216,102212,103332,125193,54289,125355,124451,116100,119348,117135,110543,,,,
H,28851,116553,94597,97389,100430,92200,119585,114393,130064,58611,118541,111380,,,,
,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date
14,1,,14.78,23.34,23.34,26.2,26.2,22.95,22.95,1,Tim_CTB(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,12/12/22 12:40
,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,
14,Tim_CTB,0,1110,1,00:00.0,De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
,,,,,,,,,,,,,,,,
Results for Tim_CTB(1) - channel 1 (RFU),,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,
A,96612,107740,105569,120378,109114,111612,104418,114954,111721,97229,93870,28701,,,,
B,101901,108517,55991,82818,94465,87491,68267,67858,103898,47112,48969,29107,,,,
C,104303,113850,119183,79446,79632,105482,117435,113186,107888,107187,101646,29239,,,,
D,99172,110069,119457,61019,114024,110635,121074,97977,107693,132253,101531,30892,,,,
E,30066,114803,91970,98838,104658,30240,114854,112301,88115,55391,120027,103303,,,,
F,31218,113635,108404,108992,107999,122504,70915,107826,118204,102250,115812,99569,,,,
G,28834,108495,98486,93996,117105,53244,114227,115342,110846,118416,114354,109217,,,,
H,30367,114459,88092,94421,98731,91620,104809,111103,127144,61542,111114,104820,,,,
,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date
15,1,,14.78,23.34,23.34,26.2,26.2,22.86,22.95,1,Tim_CTB(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,12/12/22 12:43
,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,
15,Tim_CTB,0,1046,1,00:00.0,De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
,,,,,,,,,,,,,,,,
Results for Tim_CTB(1) - channel 1 (RFU),,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,
A,97445,127622,104435,109315,108628,113623,116062,134796,137620,111181,96204,28587,,,,
B,94190,322786,68551,200335,87341,90096,73413,67415,125523,51115,52233,30411,,,,
C,97962,136010,143231,83593,76644,100054,135650,126913,121927,117282,116358,28616,,,,
D,93400,114289,122393,56503,95359,91528,130356,100867,112357,146497,105644,32628,,,,
E,30998,115755,81917,87398,91461,30430,95393,116945,86146,55226,118349,106008,,,,
F,31119,99813,100376,92440,79839,104359,71233,106510,127355,100903,112744,111641,,,,
G,29424,121519,102932,88287,100407,50341,119097,122964,117306,121143,92687,111302,,,,
H,31012,107568,79549,74984,75761,66082,92382,105314,130508,56944,104677,105760,,,,
,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date
16,1,,14.78,23.34,23.34,26.1,26.1,22.66,22.86,1,Tim_CTB(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,12/12/22 12:44
,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,
16,Tim_CTB,0,1006,1,00:00.0,De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
,,,,,,,,,,,,,,,,
Results for Tim_CTB(1) - channel 1 (RFU),,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,
A,107322,114255,103448,122056,115927,124254,114552,127401,129622,110652,92013,28993,,,,
B,96306,125979,65148,98397,92746,99980,71700,67044,119551,52677,54389,30216,,,,
C,93526,146982,155110,90380,87881,117399,143458,135265,119477,120180,123113,28852,,,,
D,91080,134850,330468,59390,112375,110167,133963,110087,116638,152689,110405,32334,,,,
E,30830,127281,82650,93936,95713,30510,107631,120517,90712,56073,119322,106581,,,,
F,31002,116220,106916,104724,91089,124818,78262,112084,124720,101970,116804,109156,,,,
G,29802,126293,95346,89157,112212,50771,129423,124234,116489,120766,90657,109799,,,,
H,30693,118998,79888,72301,84400,65826,99046,99859,125370,56080,102996,109456,,,,
,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date
17,1,,14.78,23.34,23.36,25.9,26.1,22.86,22.97,1,Tim_CTB(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,12/12/22 12:45
,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,
17,Tim_CTB,0,1147,1,00:00.0,De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
,,,,,,,,,,,,,,,,
Results for Tim_CTB(1) - channel 1 (RFU),,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,
A,108862,113838,100842,128699,122261,128315,117736,131294,121660,101030,93727,28229,,,,
B,86926,124971,67314,95676,106129,95969,72844,67754,118882,54317,50273,30388,,,,
C,90090,141241,147408,93265,90611,114027,146127,129644,121977,111513,109378,29781,,,,
D,90259,132010,127732,58481,118565,110555,126295,105486,111908,146031,105100,32473,,,,
E,30396,129795,89411,102515,100786,30471,119709,116330,85936,51234,112197,95732,,,,
F,30101,110426,103110,97955,87844,109734,69242,88451,103525,89017,99778,88988,,,,
G,29655,123714,93555,99072,111470,50905,119484,116453,111411,115237,90576,102953,,,,
H,30902,124720,82913,81342,84663,65676,95706,98129,110127,49463,88955,92637,,,,
,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,
