Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",14.66,23.64,23.64,57.7,57.6,23.25,23.54,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,10/2/2023 3:05:57 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,new alamar blue,0,1467,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,526838,579998,497745,512605,490638,540637,486384,476494,502438,518348,492267,470972,499616,518254,531047,522487,498786,570041,476344,491668,545765,481049,563646,535303,
B,501944,467775,487291,446263,461242,475296,471942,488082,500043,471295,447140,442170,488999,475123,484573,459734,473574,462052,449627,500967,479334,483161,485465,517305,
C,540307,462240,456154,478639,466134,464495,485885,419365,480981,465299,387100,473642,440172,455277,483198,495297,494536,462943,480880,464057,493034,489038,476950,512710,
D,494087,456762,486918,458481,415110,391289,471767,463613,414206,503508,479286,438169,413973,447012,486987,491096,459922,463925,409826,485512,491307,416900,471020,507692,
E,579913,469896,487509,498444,500230,478648,487872,421707,431312,516765,491915,438871,483766,501783,497623,472314,485907,504823,483797,493379,465508,508467,469113,513592,
F,507560,486726,451058,418605,408788,424533,424031,392387,420088,428431,434555,406178,393674,388846,431345,431871,494599,413891,485360,422364,456153,464503,480659,516442,
G,529949,478634,513280,473185,492364,457989,424156,384706,390461,447446,410300,400920,419922,460459,419795,412852,518217,496134,467580,397540,468814,396125,486894,516561,
H,501894,415395,480111,405249,381140,366185,401643,402562,394964,405364,436105,377016,390518,424038,410198,395500,388012,441417,514913,439591,390683,431507,495983,514067,
I,576690,506975,474979,492450,501917,509170,505454,519510,452122,395728,462058,404924,493297,502867,517413,502637,527262,510673,522294,494892,496943,506782,508920,534145,
J,502789,502702,442648,361277,418467,414499,517777,500015,457289,442460,423988,470334,422297,423762,468907,493807,521148,504067,471324,521561,502842,470003,478489,493052,
K,488400,462418,475818,496588,517127,534130,529730,517315,418314,447358,423521,404339,501924,477188,480561,537641,433331,521030,492512,510573,507358,494288,487988,535088,
L,522793,441692,470083,392221,413664,463898,415991,410158,468248,420079,455369,454773,466921,497752,418060,412396,459278,514249,498166,469541,487151,453758,476420,499966,
M,574227,467349,484126,603485,487609,485493,510639,505145,508906,496694,561397,491083,487525,488487,513662,504314,544176,553476,498225,395969,454962,498729,495603,522526,
N,492087,509055,470112,490780,498441,508819,467357,433430,481701,442988,518606,461761,491604,512762,505563,513323,529493,495274,474275,470166,480329,512351,486726,461100,
O,491446,457462,575905,589059,509977,566927,512586,497638,559591,488279,525332,468626,502987,505671,524082,566986,508340,512416,492121,481164,467452,550267,576813,557708,
P,480256,491455,497213,497393,518485,564621,552509,519999,477065,555121,477881,508641,520303,480647,571706,508795,574647,595001,536159,607254,476596,547194,501551,487062,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
6,1,="",14.66,23.73,23.73,57.6,56.6,23.25,23.25,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,10/2/2023 3:11:58 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
6,new alamar blue,0,1393,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,589117,496234,494251,516156,542611,525610,506296,500606,527426,583456,561326,475344,560741,535378,535852,571484,584809,543982,586043,521626,604633,531333,555195,511364,
B,552665,590880,497874,512527,515836,493011,526588,511070,513837,540558,506474,500640,508282,606931,520618,507642,545934,520383,493996,482757,496946,485036,501336,575427,
C,538958,507742,480322,493280,473881,450969,468364,445865,443907,453268,433517,449696,461961,443851,482771,474919,484127,486386,485431,463753,460630,501809,504868,543851,
D,608891,470702,449975,486046,455531,480228,447734,459459,455666,466156,476223,504908,455690,478322,495772,470936,482312,477525,431776,468975,487143,425370,490893,527305,
E,535222,436602,474385,468314,470161,472195,470263,460096,463738,453972,467962,441554,452888,451214,454573,463502,469915,484139,483857,507313,505341,472359,462726,521709,
F,564459,499182,467577,476623,486845,455264,457900,456846,465262,462418,505829,484274,438348,479729,464118,450284,443725,481575,457882,449260,466576,483326,486666,525145,
G,539332,529799,456376,498670,465872,476240,462309,454478,439198,447622,426663,439663,452231,478108,485902,463193,463514,441384,493585,473761,446416,510796,488441,529374,
H,534539,501589,464125,460384,438995,452040,471786,468774,483510,453615,472710,474802,476740,489213,467276,472859,475433,482460,455963,452362,457191,436950,485999,506494,
I,554124,499086,498413,481930,483164,466222,473167,422369,428049,450900,434440,427473,446250,465064,465479,467606,439642,477984,454208,454919,454985,496542,501685,574129,
J,577325,503212,488431,494495,458812,457103,463991,454449,449951,460482,455826,457837,437929,455381,427887,457364,484236,454865,448178,441869,449114,462764,472172,566613,
K,588579,515966,467525,468051,451401,476255,456820,474516,447301,421121,466175,434951,454094,434960,441187,457891,482914,462235,476580,470819,477708,476161,506736,550601,
L,545590,495663,460140,469025,474922,442157,450659,456390,454125,479810,461083,448392,461486,454543,444933,449610,472222,457417,450350,427086,454598,441124,486320,510595,
M,600772,510920,501590,477992,487079,519993,452864,458531,447167,436999,468942,477113,513752,476540,489167,475882,458718,474199,464452,473534,500758,543440,487078,538548,
N,534826,573050,499733,490131,512537,472427,461340,459755,456859,477114,470551,479219,465470,489278,476630,484572,462136,474003,472395,460928,478459,475004,490568,604890,
O,518339,479602,553497,461052,572285,507840,503920,518579,469699,468259,549414,543132,499559,462642,469004,477292,518789,493362,557407,516202,486344,515994,580593,525714,
P,555233,623466,541015,539016,537157,496754,529145,552729,534521,531330,490611,534276,506877,509876,488693,527069,498052,501987,562845,615984,595419,554588,565105,574555,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
7,1,="",14.66,23.73,23.73,56.8,57.4,23.34,23.25,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,10/2/2023 3:13:02 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
7,new alamar blue,0,1342,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,546327,557495,579353,588724,609041,551287,533087,541688,604586,609347,610795,625517,598782,557085,598442,595646,588535,663332,641090,646606,535753,617127,599703,587116,
B,512278,537243,545498,528603,555534,554915,577314,568660,572828,549640,534624,616754,572159,541244,557732,573762,520886,573046,567966,562856,565130,556784,579270,555864,
C,554822,478369,515054,525552,527995,523802,572950,554056,584438,541092,521292,542494,541985,549565,557915,553737,569727,582031,582630,548442,549343,559567,538188,536908,
D,539107,515086,532455,523870,512650,514147,533102,523540,508354,552042,513428,510359,514471,510531,527116,530172,494376,549501,516030,541005,546863,558646,521863,574444,
E,537698,531206,508045,506194,525542,502376,511262,545977,520177,525731,519062,489288,508805,512409,553580,524767,558051,543785,541990,545762,539199,549931,532968,564936,
F,510139,522122,539161,498436,551092,519918,544142,520039,537926,562197,549467,526627,537387,521005,539419,558769,538311,542779,569488,522264,541057,557239,518825,540156,
G,526919,513828,517644,509072,530980,540993,500174,538102,535886,528614,508153,449880,522176,535129,546996,521417,580427,564092,544088,541510,524087,566882,532537,630694,
H,515669,477669,531304,516688,521476,527548,547989,540666,537141,574912,529683,538714,557071,531835,584316,559358,541697,462886,527961,520313,430412,531037,528359,536698,
I,558301,483567,539265,472135,505965,548737,523515,496910,523792,521531,482446,493618,539436,504096,486208,542808,581433,575894,571760,560944,538063,554562,504383,555812,
J,509160,520828,548299,492644,512929,520810,533304,544939,553889,531828,581568,543556,531286,588950,538804,585545,539390,551457,570532,553856,502807,560022,524797,603072,
K,537828,485239,483147,502250,506700,539684,541738,525368,528687,542436,536329,527091,548272,553707,595795,574615,570660,582374,546152,553104,537100,563992,515686,533012,
L,516353,487353,556389,499183,542038,523490,528613,529494,565606,540120,578126,551793,589523,560194,537523,571423,572819,545101,564360,534992,559102,563410,482942,534085,
M,556128,506521,591363,549945,543333,562617,536405,508835,531742,550725,522110,555711,534967,504620,547998,537039,573421,565799,569808,545614,583398,556895,592735,592037,
N,543680,530339,546087,561367,564544,583223,579034,591628,571051,545748,561048,564565,561784,569296,543146,562941,577529,561414,556401,566157,563698,554248,505966,578900,
O,533377,439632,648160,510557,593195,595589,649908,523763,566607,576434,529135,574243,586144,582729,570156,585730,528060,586185,628917,565275,604337,548724,541872,519161,
P,553959,529668,585108,618340,559104,600964,590204,574459,586243,586620,600001,556415,572982,562026,572065,588581,616747,524313,558440,568600,559820,554461,552262,582381,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
8,1,="",14.66,23.73,23.73,58.1,56.6,23.34,23.25,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,10/2/2023 3:14:06 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
8,new alamar blue,0,1372,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,509061,500418,556992,559611,583401,580456,577528,555534,559565,518447,589791,556800,531251,517219,573783,558731,586609,535508,570622,596034,594450,571126,483081,501793,
B,513554,505893,589408,582317,561942,563554,582470,580228,535931,554170,567688,572283,549105,561868,601318,528142,561680,550091,551171,574152,524537,541188,486373,514188,
C,533711,503004,562928,548306,564806,533311,541379,532625,547968,532844,536031,534442,500262,547878,541517,568310,545462,572588,537959,545199,591735,547041,489421,519305,
D,531822,538825,550945,558122,500074,528181,525722,513088,516954,522949,525719,556469,534843,528804,491203,533467,534153,487355,491933,445684,538490,537717,513049,500381,
E,526513,508601,543502,550373,536001,504172,498947,513463,509866,506558,498123,534407,543813,512141,547735,485743,534185,518630,515235,485112,528526,543167,536862,514861,
F,537708,513300,582211,504508,522589,492005,508197,496215,461333,474136,533621,514236,504446,501412,490552,506079,516494,505264,472974,504868,502441,561467,476813,533008,
G,526570,520584,581637,459584,535074,541243,537673,576478,456445,499950,481813,497348,523882,511480,527247,447882,519378,558548,555914,416259,543308,580830,531916,516621,
H,525287,533206,563647,550661,462035,450515,535788,467335,525393,518457,502645,544568,545487,508354,450785,494651,509158,522579,446595,460881,506739,522132,515488,484589,
I,549515,522111,536272,525024,540071,520854,544414,528580,511140,540737,524726,511875,514988,510840,521761,522340,548983,530385,479043,530943,532885,551414,548218,539040,
J,540037,520228,544255,542382,519446,505646,495384,504055,508497,498659,479430,498448,471739,486869,481510,506530,510617,508051,482842,504855,518507,522442,487554,516717,
K,509463,517239,529422,534596,501102,506627,516644,500991,525403,469214,506333,523092,512703,512988,504127,503031,530103,523234,523588,523340,530100,560261,514238,494932,
L,517359,523206,553159,513145,509247,453213,481190,506776,490848,511776,500558,495371,483843,496558,501577,482332,478963,518836,482822,499668,514973,540823,482815,511456,
M,547928,523411,557203,535093,545611,518340,522659,507752,481549,512633,524282,518246,489305,520716,524737,524502,540863,551720,521916,547585,563144,557421,516756,511634,
N,525890,531766,542659,555598,549503,528101,550864,542146,524240,519860,500002,527926,556078,510485,510942,511452,514289,524922,536071,515160,510321,533022,499849,477932,
O,456511,564049,573914,572214,573754,562562,488503,550433,553688,596694,503030,545435,555245,536585,544546,586206,546095,584160,485130,536105,563665,554126,505653,530373,
P,521929,579845,554718,604319,594561,553791,502543,571811,609442,559419,592984,579645,550510,594010,492279,523681,537499,538728,539627,516631,578707,569574,513071,465605,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
9,1,="",14.66,23.73,23.73,56.6,57.1,23.25,23.34,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,10/2/2023 3:15:08 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
9,new alamar blue,0,1607,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,542239,517908,565460,565388,540195,548915,579073,521683,528117,546798,523419,540025,525454,526829,548930,522260,499822,523210,524405,557629,536271,521643,539387,513365,
B,512388,492956,421647,440688,392557,412300,482605,433084,557858,511721,554943,495833,532314,501685,510350,487576,505566,508001,469556,455394,492007,451360,494983,482855,
C,565943,482401,522807,504070,442964,479868,497691,495270,500954,460011,522546,500284,489715,545475,532232,444883,476464,415347,438039,426286,490111,539818,461461,563608,
D,508600,476541,488452,463449,433113,441943,493777,444280,454495,497176,446485,480352,435508,486957,469542,428488,446881,425851,457558,404274,438042,460569,481468,499537,
E,560991,519699,516128,547150,525973,460923,476474,508103,491882,442506,452931,460131,459470,504732,500374,490739,497776,472094,450699,450755,469205,482905,503250,554411,
F,527558,467111,484327,456100,480324,433976,485838,446240,472332,494088,468619,444959,425917,480634,467301,442630,439433,447262,394686,454648,441098,422492,480563,482702,
G,542709,546861,527295,499934,501894,488357,485014,461384,476715,499938,471075,452075,461237,459004,490218,511204,505396,486144,437152,435298,511613,424238,496239,516242,
H,492777,465007,451140,474611,440112,487646,419453,479386,427485,453085,450254,456506,461663,453049,479983,437916,441976,440031,430309,432991,434860,422346,515514,513134,
I,570918,555870,510722,529937,534371,483973,483625,479934,469449,481476,497571,456167,486094,488986,475516,468515,471760,480743,476140,493381,480036,525096,545404,520850,
