Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Measurement date,
1,1,="",14.66,23.64,23.64,57.7,57.6,23.25,23.54,10/2/2023 3:05:57 PM,
2,1,="",14.66,23.64,23.64,57.6,57,23.34,23.44,10/2/2023 3:07:03 PM,
3,1,="",14.66,23.64,23.64,57.3,58.1,23.44,23.34,10/2/2023 3:08:15 PM,
4,1,="",14.66,23.64,23.64,56.8,56.3,23.25,23.54,10/2/2023 3:09:52 PM,
5,1,="",14.66,23.64,23.73,57.3,57.9,23.34,23.25,10/2/2023 3:10:54 PM,
6,1,="",14.66,23.73,23.73,57.6,56.6,23.25,23.25,10/2/2023 3:11:58 PM,
7,1,="",14.66,23.73,23.73,56.8,57.4,23.34,23.25,10/2/2023 3:13:02 PM,
8,1,="",14.66,23.73,23.73,58.1,56.6,23.34,23.25,10/2/2023 3:14:06 PM,
9,1,="",14.66,23.73,23.73,56.6,57.1,23.25,23.34,10/2/2023 3:15:08 PM,


Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,new alamar blue,0,1467,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),
2,new alamar blue,0,1358,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),
3,new alamar blue,0,1468,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),
4,new alamar blue,0,1350,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),
5,new alamar blue,0,1411,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),
6,new alamar blue,0,1393,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),
7,new alamar blue,0,1342,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),
8,new alamar blue,0,1372,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),
9,new alamar blue,0,1607,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),,
1,C16,382107,00:00:06.044,
1,C17,434956,00:00:06.137,
1,C18,448900,00:00:06.231,
1,C19,212989,00:00:06.325,
1,C20,209465,00:00:06.418,
1,C21,45912,00:00:06.513,
1,C22,55616,00:00:06.606,
1,C23,175226,00:00:06.701,
1,C24,165808,00:00:06.795,
1,D01,479391,00:00:09.112,
1,D02,464775,00:00:09.018,
1,D03,476497,00:00:08.924,
1,D04,452007,00:00:08.830,
1,D05,269682,00:00:08.736,
1,D06,490691,00:00:08.642,
1,D07,464845,00:00:08.548,
1,D08,403340,00:00:08.454,
1,D09,457094,00:00:08.360,
1,D10,495240,00:00:08.266,
1,D11,436523,00:00:08.172,
1,D12,413729,00:00:08.079,
1,D13,387177,00:00:07.986,
1,D14,440110,00:00:07.892,
1,D15,418911,00:00:07.798,
1,D16,420068,00:00:07.704,
1,D17,413983,00:00:07.609,
1,D18,397701,00:00:07.515,
1,D19,199406,00:00:07.421,
1,D20,378497,00:00:07.327,
1,D21,49043,00:00:07.234,
1,D22,457925,00:00:07.140,
1,D23,161970,00:00:07.045,
1,D24,164744,00:00:06.951,
1,E01,528945,00:00:09.272,
1,E02,508468,00:00:09.365,
1,E03,482563,00:00:09.460,
1,E04,500098,00:00:09.554,
1,E05,474057,00:00:09.649,
1,E06,463763,00:00:09.742,
1,E07,306379,00:00:09.835,
1,E08,274128,00:00:09.928,
1,E09,365030,00:00:10.022,
1,E10,392449,00:00:10.116,
1,E11,410067,00:00:10.210,
1,E12,408199,00:00:10.304,
1,E13,447395,00:00:10.399,
1,E14,453852,00:00:10.492,
1,E15,440269,00:00:10.586,
1,E16,416402,00:00:10.679,
1,E17,452129,00:00:10.774,
1,E18,438236,00:00:10.867,
1,E19,297157,00:00:10.961,
1,E20,334100,00:00:11.055,
1,E21,432287,00:00:11.149,
1,E22,413830,00:00:11.243,
1,E23,215244,00:00:11.337,
1,E24,214718,00:00:11.431,
1,F01,506609,00:00:13.746,
1,F02,519429,00:00:13.653,
1,F03,474902,00:00:13.559,
1,F04,480388,00:00:13.465,
1,F05,460162,00:00:13.371,
1,F06,436367,00:00:13.277,
1,F07,283027,00:00:13.184,
1,F08,367907,00:00:13.091,
1,F09,392062,00:00:12.997,
1,F10,389654,00:00:12.903,
1,F11,355357,00:00:12.809,
1,F12,421379,00:00:12.715,
1,F13,405756,00:00:12.621,
1,F14,447939,00:00:12.527,
1,F15,416345,00:00:12.434,
1,F16,427792,00:00:12.340,
1,F17,436361,00:00:12.246,
1,F18,417296,00:00:12.152,
1,F19,303035,00:00:12.058,
1,F20,366764,00:00:11.964,
1,F21,409476,00:00:11.870,
1,F22,422425,00:00:11.775,
1,F23,198555,00:00:11.682,
1,F24,224601,00:00:11.588,
1,G01,613309,00:00:13.906,
1,G02,485667,00:00:14.000,
1,G03,514807,00:00:14.094,
1,G04,492942,00:00:14.188,
1,G05,500283,00:00:14.282,
1,G06,470345,00:00:14.376,
1,G07,381991,00:00:14.469,
1,G08,392512,00:00:14.563,
1,G09,473017,00:00:14.657,
1,G10,482831,00:00:14.751,
1,G11,448403,00:00:14.845,
1,G12,395176,00:00:14.938,
1,G13,405329,00:00:15.032,
1,G14,424666,00:00:15.126,
1,G15,369332,00:00:15.220,
1,G16,437900,00:00:15.314,
1,G17,354788,00:00:15.408,
1,G18,383960,00:00:15.503,
1,G19,490215,00:00:15.596,
1,G20,441792,00:00:15.690,
1,G21,417232,00:00:15.785,
1,G22,475751,00:00:15.879,
1,G23,205531,00:00:15.973,
1,G24,211074,00:00:16.069,
1,H01,489660,00:00:18.389,
1,H02,469177,00:00:18.295,
1,H03,454235,00:00:18.200,
1,H04,395452,00:00:18.107,
1,H05,460207,00:00:18.013,
1,H06,452047,00:00:17.919,
1,H07,359513,00:00:17.824,
1,H08,296196,00:00:17.731,
1,H09,418645,00:00:17.635,
1,H10,440514,00:00:17.542,
1,H11,423167,00:00:17.447,
1,H12,472089,00:00:17.353,
1,H13,409810,00:00:17.258,
1,H14,398431,00:00:17.164,
1,H15,415247,00:00:17.071,
1,H16,421527,00:00:16.978,
1,H17,339496,00:00:16.884,
1,H18,414404,00:00:16.789,
1,H19,443853,00:00:16.695,
1,H20,388194,00:00:16.601,
1,H21,451183,00:00:16.506,
1,H22,424014,00:00:16.413,
1,H23,202345,00:00:16.320,
1,H24,217016,00:00:16.225,
1,I01,205206,00:00:18.546,
1,I02,211518,00:00:18.639,
1,I03,509678,00:00:18.733,
1,I04,471837,00:00:18.827,
1,I05,502852,00:00:18.921,
1,I06,488066,00:00:19.015,
1,I07,434113,00:00:19.109,
1,I08,445973,00:00:19.204,
1,I09,287382,00:00:19.297,
1,I10,312014,00:00:19.391,
1,I11,483615,00:00:19.485,
1,I12,424359,00:00:19.578,
1,I13,426037,00:00:19.672,
1,I14,419049,00:00:19.767,
1,I15,469471,00:00:19.861,
1,I16,451179,00:00:19.955,
1,I17,397143,00:00:20.048,
1,I18,423434,00:00:20.142,
1,I19,129042,00:00:20.236,
1,I20,117193,00:00:20.329,
1,I21,439031,00:00:20.423,
1,I22,431993,00:00:20.518,
1,I23,450695,00:00:20.612,
1,I24,432866,00:00:20.706,
1,J01,208402,00:00:23.022,
1,J02,201818,00:00:22.928,
1,J03,456392,00:00:22.835,
1,J04,477599,00:00:22.742,
1,J05,494627,00:00:22.648,
1,J06,445976,00:00:22.554,
1,J07,402866,00:00:22.460,
1,J08,446918,00:00:22.366,
1,J09,284929,00:00:22.273,
1,J10,378468,00:00:22.180,
1,J11,438950,00:00:22.086,
1,J12,415525,00:00:21.992,
1,J13,400612,00:00:21.898,
1,J14,437455,00:00:21.804,
1,J15,434726,00:00:21.709,
1,J16,446979,00:00:21.615,
1,J17,422429,00:00:21.521,
1,J18,423671,00:00:21.427,
1,J19,130395,00:00:21.334,
1,J20,417363,00:00:21.239,
1,J21,454724,00:00:21.146,
1,J22,414740,00:00:21.052,
1,J23,445291,00:00:20.957,
1,J24,490228,00:00:20.863,
1,K01,229015,00:00:23.179,
1,K02,214392,00:00:23.273,
1,K03,491894,00:00:23.366,
1,K04,479052,00:00:23.460,
1,K05,496426,00:00:23.553,
1,K06,459112,00:00:23.648,
1,K07,476402,00:00:23.741,
1,K08,436562,00:00:23.835,
1,K09,460222,00:00:23.930,
1,K10,477879,00:00:24.024,
1,K11,435912,00:00:24.118,
1,K12,468332,00:00:24.212,
1,K13,455822,00:00:24.305,
1,K14,464786,00:00:24.399,
1,K15,475077,00:00:24.492,
1,K16,474212,00:00:24.587,
1,K17,454443,00:00:24.680,
1,K18,457990,00:00:24.774,
1,K19,445590,00:00:24.869,
1,K20,450787,00:00:24.962,
1,K21,405623,00:00:25.056,
1,K22,397299,00:00:25.151,
1,K23,464331,00:00:25.244,
1,K24,462054,00:00:25.338,
1,L01,210148,00:00:27.663,
1,L02,244709,00:00:27.569,
1,L03,480112,00:00:27.476,
1,L04,432144,00:00:27.382,
1,L05,475627,00:00:27.287,
1,L06,432827,00:00:27.193,
1,L07,434906,00:00:27.099,
1,L08,441781,00:00:27.005,
1,L09,452307,00:00:26.910,
1,L10,458527,00:00:26.816,
1,L11,472302,00:00:26.721,
1,L12,422195,00:00:26.627,
1,L13,425654,00:00:26.534,
1,L14,429696,00:00:26.440,
1,L15,428690,00:00:26.346,
1,L16,444347,00:00:26.252,
1,L17,443889,00:00:26.159,
1,L18,439352,00:00:26.064,
1,L19,448060,00:00:25.970,
1,L20,415539,00:00:25.875,
1,L21,392019,00:00:25.781,
1,L22,432510,00:00:25.687,
1,L23,437279,00:00:25.592,
1,L24,439672,00:00:25.498,
1,M01,193494,00:00:27.820,
1,M02,197659,00:00:27.913,
1,M03,493311,00:00:28.008,
1,M04,487724,00:00:28.102,
1,M05,491231,00:00:28.197,
1,M06,471482,00:00:28.292,
1,M07,448442,00:00:28.387,
1,M08,452632,00:00:28.480,
1,M09,425380,00:00:28.574,
1,M10,471698,00:00:28.668,
1,M11,294988,00:00:28.762,
1,M12,237068,00:00:28.856,
1,M13,438330,00:00:28.950,
1,M14,475436,00:00:29.044,
1,M15,475929,00:00:29.138,
1,M16,481654,00:00:29.232,
1,M17,372827,00:00:29.326,
1,M18,386968,00:00:29.420,
1,M19,433233,00:00:29.514,
1,M20,477673,00:00:29.607,
1,M21,466478,00:00:29.701,
1,M22,445845,00:00:29.794,
1,M23,445987,00:00:29.887,
1,M24,523543,00:00:29.981,
1,N01,210824,00:00:32.300,
1,N02,239367,00:00:32.207,
1,N03,472567,00:00:32.113,
1,N04,442918,00:00:32.020,
1,N05,453972,00:00:31.925,
1,N06,428225,00:00:31.832,
1,N07,443942,00:00:31.738,
1,N08,448582,00:00:31.644,
1,N09,476016,00:00:31.551,
1,N10,430293,00:00:31.456,
1,N11,248066,00:00:31.363,
1,N12,437644,00:00:31.268,
1,N13,455943,00:00:31.174,
1,N14,434929,00:00:31.080,
1,N15,434756,00:00:30.986,
1,N16,450517,00:00:30.892,
1,N17,387424,00:00:30.798,
1,N18,404102,00:00:30.703,
1,N19,434249,00:00:30.610,
1,N20,434186,00:00:30.515,
1,N21,434625,00:00:30.422,
1,N22,429111,00:00:30.328,
1,N23,442418,00:00:30.233,
1,N24,438608,00:00:30.139,
1,O01,239343,00:00:32.460,
1,O02,184496,00:00:32.554,
1,O03,511668,00:00:32.648,
1,O04,517331,00:00:32.742,
1,O05,496426,00:00:32.835,
1,O06,471189,00:00:32.930,
1,O07,466730,00:00:33.024,
1,O08,462249,00:00:33.118,
1,O09,409008,00:00:33.212,
1,O10,413105,00:00:33.305,
1,O11,446159,00:00:33.400,
1,O12,457058,00:00:33.493,
1,O13,366209,00:00:33.587,
1,O14,443105,00:00:33.682,
1,O15,421813,00:00:33.775,
1,O16,455185,00:00:33.869,
1,O17,461102,00:00:33.962,
1,O18,438754,00:00:34.056,
1,O19,324890,00:00:34.150,
1,O20,293232,00:00:34.245,
1,O21,458063,00:00:34.338,
1,O22,446631,00:00:34.433,
1,O23,451651,00:00:34.527,
1,O24,471274,00:00:34.620,
1,P01,214811,00:00:36.937,
1,P02,199197,00:00:36.843,
1,P03,481650,00:00:36.749,
1,P04,475170,00:00:36.655,
1,P05,443260,00:00:36.561,
1,P06,480058,00:00:36.467,
1,P07,456270,00:00:36.373,
1,P08,487466,00:00:36.279,
1,P09,426223,00:00:36.185,
1,P10,453181,00:00:36.091,
1,P11,429282,00:00:35.998,
1,P12,440118,00:00:35.904,
1,P13,426745,00:00:35.810,
1,P14,444737,00:00:35.715,
1,P15,405300,00:00:35.622,
1,P16,443081,00:00:35.528,
1,P17,424750,00:00:35.434,
1,P18,438763,00:00:35.339,
1,P19,304506,00:00:35.245,
1,P20,351183,00:00:35.152,
1,P21,396303,00:00:35.059,
1,P22,442105,00:00:34.966,
1,P23,460891,00:00:34.871,
1,P24,464239,00:00:34.778,

,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),,
Plate,Well,Signal,MeasTime,
2,A01,423378,00:00:00.000,
2,A02,428561,00:00:00.093,
2,A03,475500,00:00:00.187,
2,A04,488873,00:00:00.281,
2,A05,472904,00:00:00.374,
2,A06,450767,00:00:00.468,
2,A07,430694,00:00:00.562,
2,A08,382863,00:00:00.655,
2,A09,365257,00:00:00.748,
2,A10,377979,00:00:00.842,
2,A11,387688,00:00:00.935,
2,A12,377687,00:00:01.030,
2,A13,380984,00:00:01.123,
2,A14,377876,00:00:01.217,
2,A15,344993,00:00:01.312,
2,A16,394697,00:00:01.405,
2,A17,401395,00:00:01.499,
2,A18,383567,00:00:01.593,
2,A19,412568,00:00:01.687,
2,A20,414906,00:00:01.780,
2,A21,382139,00:00:01.873,
2,A22,381551,00:00:01.967,
2,A23,180509,00:00:02.060,
2,A24,167007,00:00:02.155,
2,B01,453252,00:00:04.465,
2,B02,472817,00:00:04.372,
2,B03,473481,00:00:04.278,
2,B04,467130,00:00:04.185,
2,B05,486422,00:00:04.091,
2,B06,463907,00:00:03.998,
2,B07,455046,00:00:03.904,
2,B08,466327,00:00:03.811,
2,B09,440733,00:00:03.717,
2,B10,462720,00:00:03.624,
2,B11,454972,00:00:03.530,
2,B12,448955,00:00:03.435,
2,B13,448719,00:00:03.342,
2,B14,440480,00:00:03.248,
2,B15,496609,00:00:03.154,
2,B16,426933,00:00:03.060,
2,B17,415324,00:00:02.966,
2,B18,431806,00:00:02.873,
2,B19,441055,00:00:02.780,
2,B20,409931,00:00:02.686,
2,B21,383712,00:00:02.593,
2,B22,414409,00:00:02.499,
2,B23,187809,00:00:02.405,
2,B24,178741,00:00:02.312,
2,C01,465638,00:00:04.625,
2,C02,437984,00:00:04.719,
2,C03,424804,00:00:04.813,
2,C04,421562,00:00:04.907,
2,C05,234037,00:00:05.000,
2,C06,234443,00:00:05.095,
2,C07,376407,00:00:05.189,
2,C08,353054,00:00:05.283,
2,C09,362463,00:00:05.377,
2,C10,368918,00:00:05.471,
2,C11,315761,00:00:05.565,
2,C12,322653,00:00:05.658,
2,C13,134369,00:00:05.752,
2,C14,141856,00:00:05.846,
2,C15,216947,00:00:05.940,
2,C16,232494,00:00:06.034,
2,C17,385537,00:00:06.127,
2,C18,420352,00:00:06.221,
2,C19,133108,00:00:06.315,
2,C20,135611,00:00:06.408,
2,C21,44188,00:00:06.503,
2,C22,43657,00:00:06.596,
2,C23,158329,00:00:06.691,
2,C24,160480,00:00:06.785,
2,D01,459681,00:00:09.100,
2,D02,468082,00:00:09.006,
2,D03,421809,00:00:08.913,
2,D04,446628,00:00:08.819,
2,D05,271180,00:00:08.725,
2,D06,407647,00:00:08.631,
2,D07,378283,00:00:08.537,
2,D08,422058,00:00:08.443,
2,D09,396709,00:00:08.349,
2,D10,437075,00:00:08.255,
2,D11,383444,00:00:08.161,
2,D12,398007,00:00:08.068,
2,D13,208345,00:00:07.975,
2,D14,403939,00:00:07.881,
2,D15,233395,00:00:07.786,
2,D16,438684,00:00:07.692,
2,D17,423459,00:00:07.598,
2,D18,436245,00:00:07.504,
2,D19,133628,00:00:07.410,
2,D20,428021,00:00:07.317,
2,D21,43404,00:00:07.224,
2,D22,445761,00:00:07.129,
2,D23,169042,00:00:07.035,
2,D24,182543,00:00:06.941,
2,E01,460954,00:00:09.260,
2,E02,461513,00:00:09.353,
2,E03,449975,00:00:09.446,
2,E04,423585,00:00:09.540,
2,E05,443215,00:00:09.634,
2,E06,405100,00:00:09.728,
2,E07,263104,00:00:09.821,
2,E08,264138,00:00:09.914,
2,E09,328904,00:00:10.008,
2,E10,345679,00:00:10.102,
2,E11,348137,00:00:10.195,
2,E12,379100,00:00:10.290,
2,E13,384048,00:00:10.383,
2,E14,374417,00:00:10.477,
2,E15,381123,00:00:10.570,
2,E16,407327,00:00:10.663,
2,E17,389778,00:00:10.758,
2,E18,387746,00:00:10.851,
2,E19,280691,00:00:10.945,
2,E20,269332,00:00:11.039,
2,E21,412231,00:00:11.133,
2,E22,426383,00:00:11.226,
2,E23,183760,00:00:11.320,
2,E24,211621,00:00:11.414,
2,F01,466772,00:00:13.729,
2,F02,448079,00:00:13.636,
2,F03,484633,00:00:13.541,
2,F04,462264,00:00:13.447,
2,F05,440636,00:00:13.352,
2,F06,431045,00:00:13.259,
2,F07,258331,00:00:13.166,
2,F08,417458,00:00:13.072,
2,F09,367144,00:00:12.978,
2,F10,420744,00:00:12.885,
2,F11,400352,00:00:12.791,
2,F12,460617,00:00:12.697,
2,F13,407714,00:00:12.603,
2,F14,405853,00:00:12.509,
2,F15,400686,00:00:12.416,
2,F16,413942,00:00:12.322,
2,F17,408508,00:00:12.228,
2,F18,407071,00:00:12.134,
2,F19,275800,00:00:12.040,
2,F20,299851,00:00:11.946,
2,F21,389707,00:00:11.853,
2,F22,427008,00:00:11.758,
2,F23,205400,00:00:11.665,
2,F24,182059,00:00:11.572,
2,G01,477772,00:00:13.888,
2,G02,461791,00:00:13.982,
2,G03,453175,00:00:14.077,
2,G04,390242,00:00:14.170,
2,G05,412806,00:00:14.264,
2,G06,410185,00:00:14.358,
2,G07,308517,00:00:14.452,
2,G08,318118,00:00:14.546,
2,G09,406075,00:00:14.640,
2,G10,373011,00:00:14.734,
2,G11,324205,00:00:14.827,
2,G12,359550,00:00:14.920,
2,G13,384991,00:00:15.014,
2,G14,406403,00:00:15.108,
2,G15,379136,00:00:15.202,
2,G16,382148,00:00:15.296,
2,G17,339403,00:00:15.389,
2,G18,353739,00:00:15.484,
2,G19,452542,00:00:15.578,
2,G20,430295,00:00:15.672,
2,G21,479155,00:00:15.767,
2,G22,441806,00:00:15.861,
2,G23,230480,00:00:15.954,
2,G24,200375,00:00:16.049,
2,H01,475049,00:00:18.365,
2,H02,506118,00:00:18.271,
2,H03,463509,00:00:18.176,
2,H04,427116,00:00:18.083,
2,H05,432864,00:00:17.989,
2,H06,414550,00:00:17.895,
2,H07,326619,00:00:17.801,
2,H08,389391,00:00:17.708,
2,H09,446852,00:00:17.613,
2,H10,450814,00:00:17.520,
2,H11,468020,00:00:17.426,
2,H12,415980,00:00:17.331,
2,H13,471727,00:00:17.237,
2,H14,442096,00:00:17.144,
2,H15,436561,00:00:17.051,
2,H16,452309,00:00:16.957,
2,H17,364207,00:00:16.863,
2,H18,425160,00:00:16.769,
2,H19,484828,00:00:16.675,
2,H20,392594,00:00:16.581,
2,H21,425594,00:00:16.487,
2,H22,406965,00:00:16.394,
2,H23,234246,00:00:16.300,
2,H24,198496,00:00:16.206,
2,I01,211336,00:00:18.521,
2,I02,234268,00:00:18.615,
2,I03,437932,00:00:18.709,
2,I04,385064,00:00:18.802,
2,I05,373574,00:00:18.896,
2,I06,371364,00:00:18.990,
2,I07,374570,00:00:19.084,
2,I08,352977,00:00:19.179,
2,I09,323371,00:00:19.273,
2,I10,329197,00:00:19.366,
2,I11,352818,00:00:19.460,
2,I12,403978,00:00:19.553,
2,I13,399780,00:00:19.648,
2,I14,373394,00:00:19.742,
2,I15,355819,00:00:19.836,
2,I16,369122,00:00:19.930,
2,I17,318799,00:00:20.023,
2,I18,339120,00:00:20.117,
2,I19,94546,00:00:20.210,
2,I20,100972,00:00:20.304,
2,I21,394937,00:00:20.398,
2,I22,426234,00:00:20.492,
2,I23,437591,00:00:20.586,
2,I24,451525,00:00:20.680,
2,J01,229557,00:00:22.992,
2,J02,211841,00:00:22.898,
2,J03,447169,00:00:22.805,
2,J04,418126,00:00:22.712,
2,J05,408703,00:00:22.618,
2,J06,411914,00:00:22.524,
2,J07,349622,00:00:22.430,
2,J08,412048,00:00:22.337,
2,J09,253749,00:00:22.243,
2,J10,331785,00:00:22.150,
2,J11,356630,00:00:22.057,
2,J12,418633,00:00:21.963,
2,J13,399094,00:00:21.869,
2,J14,436336,00:00:21.775,
2,J15,409661,00:00:21.681,
2,J16,394460,00:00:21.586,
2,J17,330683,00:00:21.493,
2,J18,403909,00:00:21.400,
2,J19,109931,00:00:21.306,
2,J20,411446,00:00:21.212,
2,J21,408976,00:00:21.119,
2,J22,411465,00:00:21.025,
2,J23,448914,00:00:20.931,
2,J24,445157,00:00:20.837,
2,K01,203827,00:00:23.149,
2,K02,200648,00:00:23.242,
2,K03,422315,00:00:23.336,
2,K04,400287,00:00:23.429,
2,K05,384517,00:00:23.523,
2,K06,402389,00:00:23.617,
2,K07,383659,00:00:23.710,
2,K08,354429,00:00:23.804,
2,K09,356333,00:00:23.898,
2,K10,367517,00:00:23.992,
2,K11,379904,00:00:24.087,
2,K12,347073,00:00:24.180,
2,K13,306865,00:00:24.273,
2,K14,312208,00:00:24.366,
2,K15,333206,00:00:24.460,
2,K16,390069,00:00:24.554,
2,K17,380871,00:00:24.648,
2,K18,377331,00:00:24.742,
2,K19,411638,00:00:24.836,
2,K20,368018,00:00:24.929,
2,K21,324684,00:00:25.023,
2,K22,347673,00:00:25.117,
2,K23,465851,00:00:25.211,
2,K24,478221,00:00:25.305,
2,L01,183806,00:00:27.622,
2,L02,183462,00:00:27.529,
2,L03,436849,00:00:27.435,
2,L04,431033,00:00:27.341,
2,L05,421866,00:00:27.247,
2,L06,404787,00:00:27.154,
2,L07,366833,00:00:27.060,
2,L08,417568,00:00:26.966,
2,L09,381337,00:00:26.872,
2,L10,401048,00:00:26.778,
2,L11,422107,00:00:26.683,
2,L12,384527,00:00:26.590,
2,L13,367842,00:00:26.497,
2,L14,390959,00:00:26.403,
2,L15,408846,00:00:26.309,
2,L16,395136,00:00:26.216,
2,L17,387408,00:00:26.123,
2,L18,405669,00:00:26.029,
2,L19,369680,00:00:25.935,
2,L20,404900,00:00:25.841,
2,L21,321916,00:00:25.746,
2,L22,418580,00:00:25.652,
2,L23,453404,00:00:25.558,
2,L24,472579,00:00:25.464,
2,M01,219208,00:00:27.779,
2,M02,183672,00:00:27.873,
2,M03,413844,00:00:27.967,
2,M04,387250,00:00:28.061,
2,M05,412233,00:00:28.155,
2,M06,366477,00:00:28.250,
2,M07,352286,00:00:28.343,
2,M08,367242,00:00:28.437,
2,M09,378198,00:00:28.530,
2,M10,380555,00:00:28.624,
2,M11,132295,00:00:28.718,
2,M12,129823,00:00:28.811,
2,M13,396497,00:00:28.905,
2,M14,405566,00:00:28.999,
2,M15,368804,00:00:29.093,
2,M16,379522,00:00:29.187,
2,M17,378291,00:00:29.281,
